                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6098,                0.76684,                0.92788,                0.68955,                0.59182,                0.61443,                0.53458,                 0.6054,                0.76554,                0.84857,             0.00013628,             0.00013628,             0.00013628
                     37,                0.60627,                0.76057,                0.93132,                0.60827,                0.61126,                0.61499,                0.53525,                0.60486,                0.76456,                 0.8478,             0.00012802,             0.00012802,             0.00012802
                     38,                0.60226,                0.74619,                 0.9354,                0.60786,                   0.63,                0.61557,                0.53153,                0.60124,                0.76138,                 0.8476,             0.00011976,             0.00011976,             0.00011976
                     39,                0.62168,                 0.7681,                0.93146,                0.68106,                0.60184,                0.61263,                0.52969,                0.59794,                0.76358,                0.84974,             0.00011151,             0.00011151,             0.00011151
                     40,                0.60869,                0.76024,                0.93127,                0.72613,                0.56486,                0.61124,                0.53549,                0.58368,                0.74404,                0.83809,             0.00010325,             0.00010325,             0.00010325
                     41,                0.62307,                0.83376,                0.92826,                0.67436,                0.60264,                0.60544,                0.52462,                0.60544,                0.77969,                0.83942,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     42,                0.59916,                0.78204,                 0.9172,                0.69478,                0.60152,                0.61266,                0.52863,                 0.6053,                0.75114,                0.84061,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     43,                0.58987,                0.76031,                0.91672,                0.71597,                0.59528,                 0.6244,                0.53891,                0.59547,                0.74497,                0.83746,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     44,                0.58196,                0.75327,                0.91512,                0.77577,                0.57457,                0.60994,                0.53419,                0.59676,                0.74099,                0.84399,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     45,                 0.5765,                0.73972,                0.90672,                0.67063,                0.64512,                0.62605,                0.53996,                0.59535,                0.73758,                0.84503,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     46,                0.57635,                0.74101,                0.91326,                0.68182,                0.63987,                0.62907,                0.54085,                0.58561,                0.73104,                0.83657,              5.371e-05,              5.371e-05,              5.371e-05
                     47,                0.56909,                0.72305,                0.90479,                 0.7837,                0.57838,                0.64108,                0.55366,                0.58539,                 0.7249,                0.83618,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     48,                0.56653,                0.72851,                0.90629,                0.78467,                0.58242,                0.63352,                0.54691,                0.58105,                0.72697,                0.83431,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     49,                0.57003,                0.72343,                0.90741,                0.77722,                0.58455,                0.63133,                0.54847,                0.57824,                0.72384,                0.83247,              2.894e-05,              2.894e-05,              2.894e-05
                     50,                0.56114,                0.71896,                0.90378,                0.78406,                0.58529,                0.63104,                0.54616,                0.57273,                0.72321,                0.82929,             2.0683e-05,             2.0683e-05,             2.0683e-05
